1	1.5e+06	0.000974178	0.0011909
0.99996	25000	5.00679e-06	0.00119305
0.99997	33333.3	4.05312e-06	0.00119114
0.99998	50000	5.00679e-06	0.00117803
0.99999	100000	4.05312e-06	0.00128698
1.00001	3.26877e+11	4.05312e-06	0.00119686
1.00002	5.34163e+17	9.05991e-06	0.0011642
1.00003	1.16369e+24	4.05312e-06	0.00118518
1.00004	2.85159e+30	3.8147e-06	0.00115681
1.00006	2.02852e+43	3.09944e-06	0.00119209
1.00008	1.62242e+56	4.05312e-06	0.00118685
1.0001	1.3833e+69	4.05312e-06	0.00114918
1.00012	1.22782e+82	1.09673e-05	0.00131106
1.00014	1.12029e+95	5.96046e-06	0.00119901
1.00016	1.04284e+108	5.00679e-06	0.00115299
1.00018	9.85566e+120	6.91414e-06	0.00118685
1.0002	9.42513e+133	4.05312e-06	0.00115395
1.00022	9.099e+146	5.00679e-06	0.00118899
1.00024	8.85205e+159	4.05312e-06	0.00118709
1.00026	8.66682e+172	3.09944e-06	0.00115299
1.00028	8.53086e+185	3.09944e-06	0.00118494
1.0003	8.43503e+198	5.96046e-06	0.00119019
