1	750000	0.00201321
0.99996	25000	0.00399709
0.99997	33333.3	0.002846
0.99998	50000	0.00381398
0.99999	99944.7	0.00342917
1.00001	1.80697e+08	0.00379014
1.00002	1.63426e+11	0.00383115
1.00003	1.96951e+14	0.00388908
1.00004	2.67002e+17	0.00378299
1.00006	5.81452e+23	0.00384307
1.00008	1.42409e+30	0.00382519
1.0001	3.71927e+36	0.00378418
1.00012	1.01153e+43	0.00383496
1.00014	2.82879e+49	0.00382495
1.00016	8.07326e+55	0.00379109
1.00018	2.33995e+62	0.00388288
1.0002	6.86481e+68	0.0037818
1.00022	2.03369e+75	0.00389814
1.00024	6.07318e+81	0.00378394
1.00026	1.82576e+88	0.00387812
1.00028	5.51972e+94	0.00378799
1.0003	1.67681e+101	0.00388098
